% Model:              cell.mph
% Version:            COMSOL 5.0.0.243
% Date:               Nov 18 2019, 16:22
% Dimension:          3
% Nodes:              24521
% Expressions:        3
% Description:        Potentiel électrique, Potentiel électrique, Potentiel électrique
% Length unit:        µm
% x                       y                        z                        V (V)                    V2 (V)                   V3 (V)
0                         0                        395.84087843938966       -470.7746788235954       0.9450701416519038       0.05460971767074447
0                         0                        408.3522848420872        -471.2888823587581       0.9425019948288922       0.05717873444860021
0                         0                        420.8636912447847        -471.80308589387283      0.9399338480058407       0.059747751226457146
0                         0                        433.37509764748205       -472.3172894288521       0.9373657011826929       0.06231676800431756
0                         0                        445.88650405017944       -472.8314929637395       0.9347975543595057       0.06488578478218021
0                         0                        458.397910452877         -473.3456964985307       0.9322294075363048       0.06745480156004591
0                         0                        470.9093168555745        -473.8599000332466       0.9296612607131385       0.0700238183379146
0                         0                        483.420723258272         -474.37410356794         0.9270931138900572       0.07259283511578393
0                         0                        495.9321296609695        -474.88830710260703      0.9245249670670833       0.07516185189365514
0                         0                        508.443536063667         -475.402510637344        0.921956820244188        0.07773086867152652
0                         0                        520.9549424663645        -475.9167141720854       0.9193886734214392       0.08029988544939891
0                         0                        533.4663488690621        -476.43091770684765      0.9168205265986258       0.08286890222727748
0                         0                        545.9777552717596        -476.9451212416101       0.9142523797757472       0.08543791900516554
0                         0                        558.489161674457         -477.45932477635154      0.9116842329528094       0.08800693578306139
0                         0                        571.0005680771544        -477.9735283110505       0.9091160861298521       0.09057595256096883
0                         0                        583.511974479852         -478.4877318456807       0.9065479393069469       0.09314496933889525
0                         0                        596.0233808825496        -479.0019353802826       0.9039797924840316       0.0957139861168303
0                         0                        608.5347872852469        -479.51613891484595      0.9014116456610722       0.09828300289477866
0                         0                        621.0461936879443        -480.0303424493196       0.8988434988381098       0.10085201967275316
0                         0                        633.5576000906419        -480.5445459836235       0.8962753520151145       0.1034210364507735
0                         0                        646.0690064933394        -481.05874951780737      0.8937072051920857       0.10599005322882459
0                         0                        658.5804128960369        -481.5729530519045       0.8911390583690048       0.10855907000689521
0                         0                        671.0918192987343        -482.0871565861145       0.8885709115458926       0.11112808678493279
0                         0                        683.6032257014319        -482.60136012056984      0.8860027647227626       0.11369710356290302
0                         0                        696.1146321041294        -483.11556365518805      0.8834346178996181       0.11626612034082874
0                         0                        708.626038506827         -483.6297671898845       0.880866471076469        0.11883513711873328
